id,lokasi,text,daya_tarik,amenitas,aksesibilitas,citra,harga,sdm
89371,Candi Borobudur,"pengelolaanya sudah bagus, cuma akses keluar yg harus di puter puterin jadi jauh banget sama parkir motor yg diluar jadi menyiksa banget buat wisatawan lokal.
HTM udah naik jadi 50rb.",-,-,-1,-,-1,1
89372,Candi Borobudur,Bayar mahal2. Ada wc airnya gak ada. Sampel muter 3 wc lokasi berbeda. Penangananya lamban,-,-1,-,-,-1,-1
89373,Candi Borobudur,"camdi borobudur yang terletak di kab. magelang dan termasuk warisan dunia memang menjadi objek wisata yang wajib dikunjungi. HTM domestik 40rb/orang. fasilitas yang ada di dalam juga lumayan lengkap, seperti mushola, toilet, persewaan payung, tukang foto, dll. bagi pengunjung yang menggunakan bawahan diatas lutut wajib menggunakan kain/sarung yg sudah disediakan. selain itu diarea candi ini dilarang menerbangkan drone. jika anda sudah capek dan tidak ingin menjelajahi pasar saat keluar candi, bisa naik delman (utk 4 orang) dengan membayar 100rb/delman yang sudah include mampir di Balkondes Borobudur untuk minum wedang.",0,1,-,1,0,-
89374,Candi Borobudur,susana disana saya tidak pernah merasakan bosan disana sungguh indah dan menakjubkan,1,-,-,-,-,-
89375,Candi Borobudur,"Htm cukup mahal untuk ukuran candi,",-,-,-,-,-1,-
89377,Candi Borobudur,"Sebagai salah satu warisan dunia, borobudur menyajikan sebuah pengalaman wisata yang berbeda dari biasanya...",0,-,-,-,-,-
89378,Candi Borobudur,"Candinya yang penuh akan histori, tapi lebih baik lagi jika ada pertunjukan sejarah dari candi",0,-,-,-,-,-
89379,Candi Borobudur,"Di foto keren nyata nya lbh keren , emg luar biasa peninggalan sejarah ini di Indonesia",1,-,-,-,-,-
89381,Candi Borobudur,"Bagus kamarnya Luas.
Bersih serta strategis klo mau beli apa2 bisa jalan kaki.
Mantab lah kalo buat liburan.",-,1,1,1,-,-
89382,Candi Borobudur,"Tempat enak nyaman bersih bagus buat liburan, dan anak"" untuk mengetahui sejarah",-,-,-,1,-,-
89384,Candi Borobudur,"Candi Borobudur sekarang lebih bersih, teratur dan rapih, pokoknya buat liburan panjang jangan lupa mampir ke candi Borobudur",-,-,-,1,-,-
89386,Candi Borobudur,Destinasi wisata yg sangat cocok buat keluarga...peninggalan sejarah yg harus kita jaga dan lestarikan...,-,-,-,1,-,-
89387,Candi Borobudur,"Firts time k candi borobudur..
Bagus dan buat saya belajar lagi soal sejarah indonesia
pemandangannya super oke bgt..
Dimn2 bisa dijadikan spot foto..",1,-,-,1,-,-
89388,Candi Borobudur,karena tempat ini masi terjaga keindahhan alam dan budayanya walauoun banyak orang tetap indah,1,-,-,1,-,-
89389,Candi Borobudur,"Menyesal kl blm pernah berkunjung, situs peninggalan sejarah yg tdk dimiliki negara lain, bagus untuk rekreasi keluarga.",1,-,-,1,-,-
89390,Candi Borobudur,Kerrreeeeeeeennnn apalagi kalo gk musim liburan tambah bagus buat foto2,1,-,-,1,-,-
89391,Candi Borobudur,"Tempat dan lokasi nya bagus, penjagaan supaya situs tidak rusak juga bagus, semua sudah tertib",1,-,-,1,-,1
89392,Candi Borobudur,Pokoknya bintang lima lah. Ma Shaa Allah. Semoga tetap terjaga kelestariannya.,-,-,-,1,-,-
89394,Candi Borobudur,Wisata sejarah peradaban lampau pada candi borobudur disuguhi pemandangan yang sangat luar biasa dari atas candi,1,-,-,-,-,-
89395,Candi Borobudur,Megah Luar Biasa Indah Sejarah Museum Kapal nya juga kereennn,1,-,-,-,-,-
89396,Candi Borobudur,Tempat yang bernuansa spriritual sekali...candi borobudur adalah salah satu dari 7 keajaiban dunia..wonder full,1,-,-,-,-,-
89397,Candi Borobudur,Kebesaran budaya dan keterampilan luluhur bangsa. Indonesia Bangsa Yang besar sejak jaman nenek moyang,0,-,-,-,-,-
89398,Candi Borobudur,"Peninggalan leluhur yg perlu kita banggakan dan lestarikan,klo ke sini pagi ya .... Siang dikit panasss",1,-,-,-1,-,-
89399,Candi Borobudur,Luar biasa indahnya.. jangan lupa bawa payung. Panasnya lumayan,1,-,-,-1,-,-
89400,Candi Borobudur,"Untuk naik tangganya harus perhatikan langkah karna agak vertikal.

Historical viewnya keren.",1,-,-,-,-,-
89401,Candi Borobudur,Pelayanan makin membaik. Fasilitas juga makin bagus.,-,1,-,-,-,1
89403,Candi Borobudur,"Jalan keluarnya bikin susah orang, kasihan dengan orang tua jalannya dibuat sangat jauh",-,-,-1,-,-,-
89404,Candi Borobudur,"Destinasi wisata yg di kunjungi setelah kaji banding BLUD, suasana asri suatu waktu akan datang lagi",-,-,-,1,-,-
89405,Candi Borobudur,"Disini adalah salah satu wisata di 7 keajaiban dunia, bahkan taman wisata borobudur ini sudah termasuk ke kawasan wisata 10 new bali, jadi semakin terkenal di kancah international, dan tiket masuknya ini 50.000 jika ingin sekaligus ke candi Prambanan bisa dengan harga tiketnya 75.000. Dan candi borobudur ini adalah kawasan yg terletak di magelang yaa, jadi kalo dari arah yogyakarta masih harus perjalanan 1 jam lagi, dan dari arah kutoarjo atau solo masih perjanalan 1 jam lagi yaa, dan di wisata ini juga di sediakan berbagai macam kuliner dan harganya yang dijamin hemat, karna sudah tertera di buku menu. Dan di borobudur ini bisa di nikmatin sunrisenya jika ingin menikmati sunrise yang indah bisa berkunjung sekitar jam set4 yaa",1,1,1,-,0,-
89406,Candi Borobudur,Keajaiban Dunia..luar biasa,1,-,-,-,-,-
89407,Candi Borobudur,"pemandangan bagus, sangat menakjubkan, parkir luas, akses mudah, fasilitas komplit, kamar mandi umumnya juga bersih, lingkungan candi juga bersih, cocok buat wisata keluarga deh",1,1,1,1,-,-
89408,Candi Borobudur,"Datang sepagi mungkin kalau ke sini dan bagi yg ke candi borobudur with kids, better hire pemandu wisata dari pintu masuk. Krn ga semua anak suka selfie. Mereka senenag bgt diceritain sejarah loh. Dan bagi parents jd ba nyuri waktu utk foto2 sebentar.",-,-,-,-,-,-
89409,Candi Borobudur,"Biaya masuk 50 rebu jajajn melimpah, pas arah plng ke parkiran di alihkan ks tempat oleh"" dan itu jauh wkek",-,-,-1,-,0,-
89410,Candi Borobudur,Mnikmati bangunan sejarah yg msk 7 keajaiban dunia.. Masya Allah,1,-,-,-,-,-
89411,Candi Borobudur,Luar Biasa ... sebuah candi yang merupakan salah satu keajaiban dunia,1,-,-,-,-,-
89412,Candi Borobudur,"Wisata di candi suasananya menyenangkan,ada pasar untuk beli sovenir yg variatif dan cukup nyaman",-,1,-,1,-,-
89413,Candi Borobudur,Wajib kesini kalau ke jogja hehe,-,-,-,-,-,-
89414,Candi Borobudur,Bangunan yang masuk 7 keajaiban dunia.,0,-,-,-,-,-
89416,Candi Borobudur,tempat seperti ini memang banyak pengetahuan untuk di PELAJARI,-,-,-,-,-,-
89417,Candi Borobudur,"Lama gak kesini eh kesini banyak kemajuan cm sayang parkir e mahal. Toilet ok,",-,1,-,-,-1,-
89419,Candi Borobudur,Candi Borobudur merupakan candi Budha dari kerajaan Mataram kuno dengan relief yang indah candi Borobudur juga di nobatkan sebagai candi terbesar Budha di Indonesia,1,-,-,-,-,-
89420,Candi Borobudur,destinasi wajib kalo jalan jalan ke jogja..kesana pas weekday htm nya buat anak diatas 3-12th 25rbu..untuk dewasa 50rb..,-,-,-,-,0,-
89421,Candi Borobudur,Beberapa batu kondisinya labil (jawa: oglak aglik),-1,-,-,-,-,-
89422,Candi Borobudur,Kurang tempat duduk/berteduh (gasebo) disekeliling Candi.... Toilet terlalu jauh dari lokasi Candi...,-,-1,-,-,-,-
89423,Candi Borobudur,Parkiran bus luas tp utk istrht crew tdk disediakan yg kusus,-,1,-,-,-,-
89425,Candi Borobudur,"Mengunjungi Candi Borobudur ini ketika mengikuti Borobudur Marathon. Event bergengsi taraf international yang digelar pemerintah provinsi Jawa Tengah.
Candi yang merupakan warisan leluhur bernilai amat tinggi, menjadi kewajiban kita untuk menjaga kelestariannya.",1,-,-,-,-,-
89426,Candi Borobudur,Tempat yang indah buat kalian yang ingin menikmati sunrise Dan tempat untuk bertemu dengan banyak turis,1,-,-,-,-,-
89428,Candi Borobudur,"Tempatnya rame banget, apalagi pas hari libur. But overall tempatnya menyenangkan...",-,-,-,1,-,-
89429,Candi Borobudur,"Memukau.....!!
Krn kita sulit tuk bayangkan cara org2 di jaman batu tuk membangun bangunan yg begitu antraktif, & kokoh tampa menggunakan peralatan canggi sprt jaman ini.
Mantap.",1,-,-,-,-,-
89430,Candi Borobudur,Bangunan batu tanpa semen peninggalan nenek moyang begitu megah dan menakjubkan,1,-,-,-,-,-
89432,Candi Borobudur,Tempat wisata yg harus d kunjungi kalau ke jogja... Biaya masuk nya lumayan lah..mehong hhehee,-,-,-,-,-1,-
